2026-05-29 21:02:36,915 | analisis_pipeline | INFO | [2222_audio1] STT: "Aku mau book flight ke Jedah minggu depan, bisa bantu schedu"
2026-05-29 21:26:31,892 | analisis_pipeline | INFO | [2222_audio10] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2222_audio10.wav
2026-05-29 21:27:00,926 | analisis_pipeline | INFO | [2222_audio12] STT: "Bagaimana proses visa Saudi untuk umrah dari Indonesia sekar"
2026-05-29 21:27:14,941 | analisis_pipeline | INFO | [2222_audio12] LLM: "Kamu bisa mengurus visa melalui agen travel umrah resmi atau"
2026-05-29 21:27:18,433 | analisis_pipeline | INFO | [2222_audio12] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2222_audio12.wav
2026-05-29 21:27:47,374 | analisis_pipeline | INFO | [2222_audio14] STT: "How to prepare dagumen umrah dari Indonesia dengan benar?"
2026-05-29 21:28:02,657 | analisis_pipeline | INFO | [2222_audio14] LLM: "Ensure your passport is valid for at least six months and pr"
2026-05-29 21:28:31,296 | analisis_pipeline | INFO | [2222_audio14] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2222_audio14.wav
2026-05-29 21:29:03,482 | analisis_pipeline | INFO | [2301_audio1] STT: "Aku mau book fly ke Jedah minggu depan, bisa bantu schedule"
2026-05-29 21:29:14,036 | analisis_pipeline | INFO | [2301_audio1] LLM: "Tentu, saya bisa bantu atur jadwalnya. Tolong infokan tangga"
2026-05-29 21:29:16,984 | analisis_pipeline | INFO | [2301_audio1] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2301_audio1.wav
2026-05-29 21:29:47,033 | analisis_pipeline | INFO | [2301_audio2] STT: "Aku butuh travel umrah simpel tapi include Madinah Visit."
2026-05-29 21:29:59,495 | analisis_pipeline | INFO | [2301_audio2] LLM: "Kamu bisa cari paket Umrah Reguler karena biasanya sudah oto"
2026-05-29 21:30:02,885 | analisis_pipeline | INFO | [2301_audio2] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2301_audio2.wav
2026-05-29 21:30:33,145 | analisis_pipeline | INFO | [2301_audio3] STT: "Can you help aku arrange transport dari Jedah ke Madinah tom"
2026-05-29 21:30:44,651 | analisis_pipeline | INFO | [2301_audio3] LLM: "You can book the Haramain High Speed Railway online for the "
2026-05-29 21:31:16,581 | analisis_pipeline | INFO | [2301_audio3] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2301_audio3.wav
2026-05-29 21:31:49,191 | analisis_pipeline | INFO | [2301_audio4] STT: "Explain step by step cara apply visa Saudi dengan benar."
2026-05-29 21:32:11,804 | analisis_pipeline | INFO | [2301_audio4] LLM: "First, visit the official Saudi Visa website or Nusuk platfo"
2026-05-29 21:32:42,946 | analisis_pipeline | INFO | [2301_audio4] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2301_audio4.wav
2026-05-29 21:33:18,744 | analisis_pipeline | INFO | [2301_audio5] STT: "Ya akhiri, uridu book flight ilajidah ul usbu an kadim. Hal "
2026-05-29 21:33:38,258 | analisis_pipeline | INFO | [2301_audio5] LLM: "I can certainly help you find the best direct flight schedul"
2026-05-29 21:34:01,267 | analisis_pipeline | INFO | [2301_audio5] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2301_audio5.wav
2026-05-29 21:34:36,816 | analisis_pipeline | INFO | [2301_audio6] STT: "Uridu Range Transport Menjeda ilai Madinah Rodan"
2026-05-29 21:35:04,537 | analisis_pipeline | INFO | [2301_audio6] LLM: "Role: Friendly Umrah and Hajj travel assistant.
Capabilities"
2026-05-29 21:43:06,054 | analisis_pipeline | INFO | [2301_audio6] STT: "Uridu Range Transport Menjeda ilai Madinah Rodan"
2026-05-29 21:43:28,654 | analisis_pipeline | INFO | [2301_audio6] LLM: "Role: Friendly Umrah and Hajj travel assistant.
Competency: "
2026-05-29 21:45:06,735 | analisis_pipeline | INFO | [2301_audio6] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2301_audio6.wav
2026-05-29 21:45:30,301 | analisis_pipeline | INFO | [2301_audio11] STT: "Kenapa fasting di Ramadan itu wajib bagi Muslim?"
2026-05-29 21:45:45,791 | analisis_pipeline | INFO | [2301_audio11] LLM: "Puasa Ramadan wajib karena merupakan salah satu rukun Islam "
2026-05-29 21:45:49,997 | analisis_pipeline | INFO | [2301_audio11] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2301_audio11.wav
2026-05-29 21:46:13,031 | analisis_pipeline | INFO | [2301_audio12] STT: "Bagaimana proses visa Saudi untuk omroh dari Indonesia sekar"
2026-05-29 21:50:31,146 | analisis_pipeline | INFO | [2222_audio1] STT: "Aku mau book flight ke Jedah minggu depan, bisa bantu schedu"
2026-05-29 21:50:41,112 | analisis_pipeline | INFO | [2222_audio1] LLM: "Tentu, saya bisa bantu carikan jadwalnya. Tolong beri tahu k"
2026-05-29 21:50:54,237 | analisis_pipeline | INFO | [2222_audio1] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2222_audio1.wav
2026-05-29 21:51:17,400 | analisis_pipeline | INFO | [2222_audio2] STT: "Aku butuh travel umrah simple tapi include marina visit."
2026-05-29 21:51:34,975 | analisis_pipeline | INFO | [2222_audio2] LLM: "I recommend looking for "Umrah Plus" packages that offer cus"
2026-05-29 21:52:14,719 | analisis_pipeline | INFO | [2222_audio2] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2222_audio2.wav
2026-05-29 21:52:38,567 | analisis_pipeline | INFO | [2222_audio3] STT: "Can you help aku arrange transport dari Judah ke Madinah tom"
2026-05-29 21:53:01,129 | analisis_pipeline | INFO | [2222_audio3] LLM: "I recommend booking the Haramain High-Speed Railway online v"
2026-05-29 21:53:23,673 | analisis_pipeline | INFO | [2222_audio3] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2222_audio3.wav
2026-05-29 21:53:47,421 | analisis_pipeline | INFO | [2222_audio4] STT: "Explain step by step cara apply visas OD dengan benar."
2026-05-29 21:54:09,810 | analisis_pipeline | INFO | [2222_audio4] LLM: "Role: Friendly Umrah and Hajj travel assistant.
Language Cap"
2026-05-29 21:55:16,743 | analisis_pipeline | INFO | [2222_audio4] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2222_audio4.wav
2026-05-29 21:55:43,734 | analisis_pipeline | INFO | [2222_audio5] STT: "Ya akhi, uridu bookflag ilah Jeddah al-Rasbun al-Qadim, hal "
2026-05-29 21:56:11,316 | analisis_pipeline | INFO | [2222_audio5] LLM: "Role: Friendly Umrah and Hajj travel assistant.
Skills: Unde"
2026-05-29 21:57:15,949 | analisis_pipeline | INFO | [2222_audio5] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2222_audio5.wav
2026-05-29 21:57:40,314 | analisis_pipeline | INFO | [2222_audio6] STT: "Uri dulu range transport menjedah ilah Madinah Waddan."
2026-05-29 21:58:02,150 | analisis_pipeline | INFO | [2222_audio6] LLM: "You can take the Haramain High-Speed Railway for a fast and "
2026-05-29 21:58:23,296 | analisis_pipeline | INFO | [2222_audio6] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2222_audio6.wav
2026-05-29 21:58:50,294 | analisis_pipeline | INFO | [2222_audio7] STT: "Book flight ke Jeddah lalu lanjut ke Madinah, schedule terba"
2026-05-29 21:59:17,752 | analisis_pipeline | INFO | [2222_audio7] LLM: "Role: Friendly Umrah and Hajj travel assistant.
Skill: Code-"
2026-05-29 21:59:23,526 | analisis_pipeline | INFO | [2222_audio7] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2222_audio7.wav
2026-05-29 21:59:49,360 | analisis_pipeline | INFO | [2222_audio10] STT: "Apa perbedaan umrah dan hajj secara detail dalam Islam?"
2026-05-29 22:00:06,879 | analisis_pipeline | INFO | [2222_audio10] LLM: "Haji wajib dilaksanakan pada waktu tertentu di bulan Dzulhij"
2026-05-29 22:00:12,025 | analisis_pipeline | INFO | [2222_audio10] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2222_audio10.wav
2026-05-29 22:00:36,580 | analisis_pipeline | INFO | [2222_audio12] STT: "Bagaimana proses visa Saudi untuk umrah dari Indonesia sekar"
2026-05-29 22:00:57,079 | analisis_pipeline | INFO | [2222_audio12] LLM: "Kamu bisa mengurus visa melalui agen travel resmi (PIHK) ata"
2026-05-29 22:01:01,298 | analisis_pipeline | INFO | [2222_audio12] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2222_audio12.wav
2026-05-29 22:01:25,065 | analisis_pipeline | INFO | [2222_audio14] STT: "How to prepare dagumen umrah dari Indonesia dengan benar?"
2026-05-29 22:01:38,628 | analisis_pipeline | INFO | [2222_audio14] LLM: "Ensure your passport is valid for at least six months and ob"
2026-05-29 22:02:05,117 | analisis_pipeline | INFO | [2222_audio14] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2222_audio14.wav
2026-05-29 22:02:30,601 | analisis_pipeline | INFO | [2301_audio1] STT: "Aku mau book fly ke Jedah minggu depan, bisa bantu schedule"
2026-05-29 22:02:46,418 | analisis_pipeline | INFO | [2301_audio1] LLM: "Tentu, saya bisa bantu atur jadwal penerbanganmu. Boleh info"
2026-05-29 22:02:48,597 | analisis_pipeline | INFO | [2301_audio1] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2301_audio1.wav
2026-05-29 22:03:12,246 | analisis_pipeline | INFO | [2301_audio2] STT: "Aku butuh travel umrah simpel tapi include Madinah Visit."
2026-05-29 22:03:35,561 | analisis_pipeline | INFO | [2301_audio2] LLM: "I recommend choosing an "Economy Umrah" package that explici"
2026-05-29 22:04:06,232 | analisis_pipeline | INFO | [2301_audio2] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2301_audio2.wav
2026-05-29 22:04:29,964 | analisis_pipeline | INFO | [2301_audio3] STT: "Can you help aku arrange transport dari Jedah ke Madinah tom"
2026-05-29 22:04:47,770 | analisis_pipeline | INFO | [2301_audio3] LLM: "You should book the Haramain High Speed Railway online right"
2026-05-29 22:05:16,380 | analisis_pipeline | INFO | [2301_audio3] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2301_audio3.wav
2026-05-29 22:05:40,401 | analisis_pipeline | INFO | [2301_audio4] STT: "Explain step by step cara apply visa Saudi dengan benar."
2026-05-29 22:05:55,288 | analisis_pipeline | INFO | [2301_audio4] LLM: "First, select your visa type through the official KSA Visa p"
2026-05-29 22:06:22,401 | analisis_pipeline | INFO | [2301_audio4] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2301_audio4.wav
2026-05-29 22:06:48,777 | analisis_pipeline | INFO | [2301_audio5] STT: "Ya akhiri, uridu book flight ilajidah ul usbu an kadim. Hal "
2026-05-29 22:07:07,851 | analisis_pipeline | INFO | [2301_audio5] LLM: "Tentu, saya bisa bantu carikan jadwal penerbangan langsung k"
2026-05-29 22:07:11,146 | analisis_pipeline | INFO | [2301_audio5] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2301_audio5.wav
2026-05-29 22:07:34,882 | analisis_pipeline | INFO | [2301_audio6] STT: "Uridu Range Transport Menjeda ilai Madinah Rodan"
2026-05-29 22:07:50,825 | analisis_pipeline | INFO | [2301_audio6] LLM: "I can help you arrange transportation to Medina via private "
2026-05-29 22:08:15,113 | analisis_pipeline | INFO | [2301_audio6] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2301_audio6.wav
2026-05-29 22:08:40,133 | analisis_pipeline | INFO | [2301_audio11] STT: "Kenapa fasting di Ramadan itu wajib bagi Muslim?"
2026-05-29 22:08:58,546 | analisis_pipeline | INFO | [2301_audio11] LLM: "Puasa Ramadan wajib dilaksanakan karena merupakan salah satu"
2026-05-29 22:09:02,242 | analisis_pipeline | INFO | [2301_audio11] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2301_audio11.wav
2026-05-29 22:09:26,255 | analisis_pipeline | INFO | [2301_audio12] STT: "Bagaimana proses visa Saudi untuk omroh dari Indonesia sekar"
2026-05-29 22:09:55,867 | analisis_pipeline | INFO | [2301_audio12] LLM: "Kamu bisa mengurusnya melalui agen travel umrah resmi atau s"
2026-05-29 22:09:59,546 | analisis_pipeline | INFO | [2301_audio12] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2301_audio12.wav
2026-05-29 22:10:23,349 | analisis_pipeline | INFO | [2301_audio14] STT: "How to prepare dokumen umrah dari Indonesia dengan benar"
2026-05-29 22:10:33,162 | analisis_pipeline | INFO | [2301_audio14] LLM: "Ensure your passport is valid for at least six months and pr"
2026-05-29 22:11:03,937 | analisis_pipeline | INFO | [2301_audio14] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2301_audio14.wav
2026-05-29 22:11:28,714 | analisis_pipeline | INFO | [2301_audio15] STT: "Tolong buat checklist persiapan umrah termasuk barang wajib "
2026-05-29 22:11:47,098 | analisis_pipeline | INFO | [2301_audio15] LLM: "Siapkan dokumen seperti paspor dan visa, pakaian ihram atau "
2026-05-29 22:11:52,798 | analisis_pipeline | INFO | [2301_audio15] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2301_audio15.wav
2026-05-29 22:12:29,880 | analisis_pipeline | INFO | [2302_audio01] STT: "Aku mau book flight ke Jedah minggu depan, bisa bantu schedu"
2026-05-29 22:12:41,417 | analisis_pipeline | INFO | [2302_audio01] LLM: "Tentu, saya bisa bantu carikan jadwalnya. Silakan infokan ta"
2026-05-29 22:12:45,266 | analisis_pipeline | INFO | [2302_audio01] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2302_audio01.wav
2026-05-29 22:13:22,648 | analisis_pipeline | INFO | [2302_audio02] STT: "Aku butuh Transval Umrah Simpal tapi include Madinah Visit."
2026-05-29 22:13:39,537 | analisis_pipeline | INFO | [2302_audio02] LLM: "Kami punya paket Umrah Simpel yang sudah include Madinah vis"
2026-05-29 22:13:42,468 | analisis_pipeline | INFO | [2302_audio02] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2302_audio02.wav
2026-05-29 22:14:14,106 | analisis_pipeline | INFO | [2302_audio03] STT: "Can you help aku arrange transport dari Jeddah ke Madinah to"
2026-05-29 22:14:37,162 | analisis_pipeline | INFO | [2302_audio03] LLM: "I recommend booking the Haramain High Speed Railway online f"
2026-05-29 22:15:04,159 | analisis_pipeline | INFO | [2302_audio03] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2302_audio03.wav
2026-05-29 22:15:36,931 | analisis_pipeline | INFO | [2302_audio04] STT: "Expand step by step cara apply visa Saudi dengan benar."
2026-05-29 22:16:00,330 | analisis_pipeline | INFO | [2302_audio04] LLM: "First, visit the official Nusuk or Saudi Visa website to sel"
2026-05-29 22:16:29,612 | analisis_pipeline | INFO | [2302_audio04] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2302_audio04.wav
2026-05-29 22:16:55,929 | analisis_pipeline | INFO | [2302_audio05] STT: "Ya Akhi, uridubuk flight ilajidah Al-Usbu Al-Khadim, hal bis"
2026-05-29 22:17:18,573 | analisis_pipeline | INFO | [2302_audio05] LLM: "Role: Friendly Umrah and Hajj travel assistant.
Capabilities"
2026-05-29 22:18:28,069 | analisis_pipeline | INFO | [2302_audio05] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2302_audio05.wav
2026-05-29 22:18:51,538 | analisis_pipeline | INFO | [2302_audio06] STT: "Udhido Range Transport Menjida ilam Madinahada"
2026-05-29 22:19:14,177 | analisis_pipeline | INFO | [2302_audio06] LLM: "You can arrange transport to Madinah through your Umrah trav"
2026-05-29 22:19:38,403 | analisis_pipeline | INFO | [2302_audio06] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2302_audio06.wav
2026-05-29 22:20:01,668 | analisis_pipeline | INFO | [2302_audio11] STT: "Kenapa fasting di ramadan itu wajib bagi muslim?"
2026-05-29 22:20:20,843 | analisis_pipeline | INFO | [2302_audio11] LLM: "Puasa Ramadan wajib dijalankan karena merupakan salah satu r"
2026-05-29 22:20:24,099 | analisis_pipeline | INFO | [2302_audio11] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2302_audio11.wav
2026-05-29 22:20:47,104 | analisis_pipeline | INFO | [2302_audio14] STT: "How to prepare dokumen umrah dari Indonesia dengan benar?"
2026-05-29 22:20:57,201 | analisis_pipeline | INFO | [2302_audio14] LLM: "Ensure your passport has at least six months of validity and"
2026-05-29 22:21:24,257 | analisis_pipeline | INFO | [2302_audio14] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2302_audio14.wav
2026-05-29 22:21:48,123 | analisis_pipeline | INFO | [2302_audio15] STT: "Tolong buat checklist persiapan umrah termasuk barang wajib "
2026-05-29 22:22:02,853 | analisis_pipeline | INFO | [2302_audio15] LLM: "Pastikan paspor, visa, dan dokumen kesehatan sudah siap, ser"
2026-05-29 22:22:07,287 | analisis_pipeline | INFO | [2302_audio15] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2302_audio15.wav
2026-05-29 22:22:30,674 | analisis_pipeline | INFO | [2302_audio17] STT: "Menurut kamu, belajar bahasa Arab itu susah nggak untuk pemu"
2026-05-29 22:22:39,494 | analisis_pipeline | INFO | [2302_audio17] LLM: "Belajar bahasa Arab itu menantang, tapi sangat bisa dilakuka"
2026-05-29 22:22:42,814 | analisis_pipeline | INFO | [2302_audio17] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2302_audio17.wav
2026-05-29 22:23:06,438 | analisis_pipeline | INFO | [2303_audio01] STT: "Aku membuka flight ke Jeddah minggu depan. Bisa bantu schedu"
2026-05-29 22:23:21,786 | analisis_pipeline | INFO | [2303_audio01] LLM: "Tentu, aku bisa bantu susun itinerary perjalananmu ke Jeddah"
2026-05-29 22:23:24,495 | analisis_pipeline | INFO | [2303_audio01] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2303_audio01.wav
2026-05-29 22:23:47,650 | analisis_pipeline | INFO | [2303_audio02] STT: "Aku butuh travel umrah simpel, tapi include Madinah Visit."
2026-05-29 22:24:06,329 | analisis_pipeline | INFO | [2303_audio02] LLM: "You should look for "Umrah Express" packages that specifical"
2026-05-29 22:24:31,183 | analisis_pipeline | INFO | [2303_audio02] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2303_audio02.wav
2026-05-29 22:24:54,587 | analisis_pipeline | INFO | [2303_audio03] STT: "Can you help me arrange transport dari Jeddah ke Madinah tom"
2026-05-29 22:25:12,794 | analisis_pipeline | INFO | [2303_audio03] LLM: "I recommend booking the Haramain High-Speed Railway online f"
2026-05-29 22:25:35,872 | analisis_pipeline | INFO | [2303_audio03] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2303_audio03.wav
2026-05-29 22:25:58,929 | analisis_pipeline | INFO | [2303_audio04] STT: "Explain step by step cara apply visa Saudi dengan benar."
2026-05-29 22:26:13,630 | analisis_pipeline | INFO | [2303_audio04] LLM: "First, prepare your passport and digital photo, then apply t"
2026-05-29 22:26:41,083 | analisis_pipeline | INFO | [2303_audio04] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2303_audio04.wav
2026-05-29 22:27:07,486 | analisis_pipeline | INFO | [2303_audio05] STT: "Ya ahri, uridu buk frak ila jadah al-usbu al-qadim, hal bisa"
2026-05-29 22:27:35,073 | analisis_pipeline | INFO | [2303_audio05] LLM: "Role: Friendly Umrah and Hajj travel assistant.
Skill: Under"
2026-05-29 22:28:24,797 | analisis_pipeline | INFO | [2303_audio05] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2303_audio05.wav
2026-05-29 22:28:48,020 | analisis_pipeline | INFO | [2303_audio06] STT: "Uridu Orange transport Min Jeddah Ila Madinah Radhan"
2026-05-29 22:29:10,667 | analisis_pipeline | INFO | [2303_audio06] LLM: "Role: Friendly Umrah and Hajj travel assistant.
Capabilities"
2026-05-29 22:30:08,454 | analisis_pipeline | INFO | [2303_audio06] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2303_audio06.wav
2026-05-29 22:30:32,450 | analisis_pipeline | INFO | [2303_audio07] STT: "Buk flight ke Jeddah lalu lanjut ke Madinah. Skedul terbaik "
2026-05-29 22:30:53,892 | analisis_pipeline | INFO | [2303_audio07] LLM: "Paling praktis langsung naik Haramain High-Speed Railway dar"
2026-05-29 22:30:56,930 | analisis_pipeline | INFO | [2303_audio07] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2303_audio07.wav
2026-05-29 22:31:20,353 | analisis_pipeline | INFO | [2303_audio13] STT: "Jelaskan step by step cara booking flight ke Jeddah secara o"
2026-05-29 22:31:34,070 | analisis_pipeline | INFO | [2303_audio13] LLM: "Buka website maskapai atau aplikasi OTA seperti Traveloka, l"
2026-05-29 22:31:37,605 | analisis_pipeline | INFO | [2303_audio13] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2303_audio13.wav
2026-05-29 22:32:01,383 | analisis_pipeline | INFO | [2303_audio15] STT: "Tolong buat checklist persiapan umrah termasuk barang wajib "
2026-05-29 22:32:21,952 | analisis_pipeline | INFO | [2303_audio15] LLM: "Siapkan dokumen penting seperti paspor dan visa, serta bawa "
2026-05-29 22:32:25,650 | analisis_pipeline | INFO | [2303_audio15] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2303_audio15.wav
2026-05-29 22:32:48,962 | analisis_pipeline | INFO | [2303_audio19] STT: "Ahianan saya bingung mulai dari mana untuk umrah."
