2026-05-28 15:59:28,744 | text_processor | INFO | Input: "Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?"
2026-05-29 16:44:22,745 | text_processor | INFO | dominant=ID detected=['ID', 'EN'] segments=4
2026-05-29 17:09:58,264 | text_processor | INFO | Input: "Aku butuh travel umrah simple tapi include marina visit."
2026-05-29 17:09:58,265 | text_processor | INFO | dominant=EN detected=['ID', 'EN', 'AR'] segments=6
2026-05-29 21:02:36,915 | text_processor | INFO | Input: "Aku mau book flight ke Jedah minggu depan, bisa bantu schedule?"
2026-05-29 21:02:36,916 | text_processor | INFO | Manifest disimpan: 2222_audio1.json
2026-05-29 21:02:36,916 | text_processor | INFO | dominant=ID detected=['ID', 'EN'] segments=4
2026-05-29 21:04:10,065 | text_processor | INFO | Input: "Apa perbedaan umrah dan hajj secara detail dalam Islam?"
2026-05-29 21:04:10,066 | text_processor | INFO | Manifest disimpan: 2222_audio10.json
2026-05-29 21:04:10,066 | text_processor | INFO | dominant=ID detected=['ID', 'AR'] segments=5
2026-05-29 21:16:02,927 | text_processor | INFO | Input: "Aku mau book flight ke Jedah minggu depan, bisa bantu schedule?"
2026-05-29 21:16:02,928 | text_processor | INFO | Manifest disimpan: 2222_audio1.json
2026-05-29 21:16:02,928 | text_processor | INFO | dominant=ID detected=['ID', 'EN'] segments=4
2026-05-29 21:16:56,395 | text_processor | INFO | Input: "Aku butuh travel umrah simple tapi include marina visit."
2026-05-29 21:16:56,396 | text_processor | INFO | Manifest disimpan: 2222_audio2.json
2026-05-29 21:16:56,396 | text_processor | INFO | dominant=EN detected=['ID', 'EN', 'AR'] segments=6
2026-05-29 21:18:41,855 | text_processor | INFO | Input: "Can you help aku arrange transport dari Judah ke Madinah tomorrow?"
2026-05-29 21:18:41,856 | text_processor | INFO | Manifest disimpan: 2222_audio3.json
2026-05-29 21:18:41,856 | text_processor | INFO | dominant=EN detected=['EN', 'ID', 'AR'] segments=6
2026-05-29 21:19:44,679 | text_processor | INFO | Input: "Explain step by step cara apply visas OD dengan benar."
2026-05-29 21:19:44,680 | text_processor | INFO | Manifest disimpan: 2222_audio4.json
2026-05-29 21:19:44,680 | text_processor | INFO | dominant=EN detected=['EN', 'ID'] segments=4
2026-05-29 21:21:11,563 | text_processor | INFO | Input: "Ya akhi, uridu bookflag ilah Jeddah al-Rasbun al-Qadim, hal bisa bantu Ajidah Af"
2026-05-29 21:21:11,564 | text_processor | INFO | Manifest disimpan: 2222_audio5.json
2026-05-29 21:21:11,564 | text_processor | INFO | dominant=AR detected=['AR', 'ID', 'EN'] segments=3
2026-05-29 21:23:39,614 | text_processor | INFO | Input: "Uri dulu range transport menjedah ilah Madinah Waddan."
2026-05-29 21:23:39,614 | text_processor | INFO | Manifest disimpan: 2222_audio6.json
2026-05-29 21:23:39,614 | text_processor | INFO | dominant=EN detected=['EN', 'AR'] segments=2
2026-05-29 21:25:11,810 | text_processor | INFO | Input: "Book flight ke Jeddah lalu lanjut ke Madinah, schedule terbaik kapan?"
2026-05-29 21:25:11,810 | text_processor | INFO | Manifest disimpan: 2222_audio7.json
2026-05-29 21:25:11,811 | text_processor | INFO | dominant=ID detected=['EN', 'ID', 'AR'] segments=7
2026-05-29 21:26:09,611 | text_processor | INFO | Input: "Apa perbedaan umrah dan hajj secara detail dalam Islam?"
2026-05-29 21:26:09,612 | text_processor | INFO | Manifest disimpan: 2222_audio10.json
2026-05-29 21:26:09,612 | text_processor | INFO | dominant=ID detected=['ID', 'AR'] segments=5
2026-05-29 21:27:00,926 | text_processor | INFO | Input: "Bagaimana proses visa Saudi untuk umrah dari Indonesia sekarang?"
2026-05-29 21:27:00,931 | text_processor | INFO | Manifest disimpan: 2222_audio12.json
2026-05-29 21:27:00,932 | text_processor | INFO | dominant=ID detected=['ID', 'EN', 'AR'] segments=6
2026-05-29 21:27:47,375 | text_processor | INFO | Input: "How to prepare dagumen umrah dari Indonesia dengan benar?"
2026-05-29 21:27:47,375 | text_processor | INFO | Manifest disimpan: 2222_audio14.json
2026-05-29 21:27:47,375 | text_processor | INFO | dominant=EN detected=['EN', 'AR', 'ID'] segments=3
2026-05-29 21:29:03,482 | text_processor | INFO | Input: "Aku mau book fly ke Jedah minggu depan, bisa bantu schedule"
2026-05-29 21:29:03,483 | text_processor | INFO | Manifest disimpan: 2301_audio1.json
2026-05-29 21:29:03,483 | text_processor | INFO | dominant=ID detected=['ID', 'EN'] segments=4
2026-05-29 21:29:47,033 | text_processor | INFO | Input: "Aku butuh travel umrah simpel tapi include Madinah Visit."
2026-05-29 21:29:47,039 | text_processor | INFO | Manifest disimpan: 2301_audio2.json
2026-05-29 21:29:47,039 | text_processor | INFO | dominant=ID detected=['ID', 'EN', 'AR'] segments=7
2026-05-29 21:30:33,146 | text_processor | INFO | Input: "Can you help aku arrange transport dari Jedah ke Madinah tomorrow?"
2026-05-29 21:30:33,146 | text_processor | INFO | Manifest disimpan: 2301_audio3.json
2026-05-29 21:30:33,146 | text_processor | INFO | dominant=EN detected=['EN', 'ID', 'AR'] segments=6
2026-05-29 21:31:49,191 | text_processor | INFO | Input: "Explain step by step cara apply visa Saudi dengan benar."
2026-05-29 21:31:49,192 | text_processor | INFO | Manifest disimpan: 2301_audio4.json
2026-05-29 21:31:49,192 | text_processor | INFO | dominant=EN detected=['EN', 'ID', 'AR'] segments=5
2026-05-29 21:33:18,744 | text_processor | INFO | Input: "Ya akhiri, uridu book flight ilajidah ul usbu an kadim. Hal bisa bantu ajidah af"
2026-05-29 21:33:18,744 | text_processor | INFO | Manifest disimpan: 2301_audio5.json
2026-05-29 21:33:18,745 | text_processor | INFO | dominant=EN detected=['AR', 'EN', 'ID'] segments=3
2026-05-29 21:34:36,816 | text_processor | INFO | Input: "Uridu Range Transport Menjeda ilai Madinah Rodan"
2026-05-29 21:34:36,816 | text_processor | INFO | Manifest disimpan: 2301_audio6.json
2026-05-29 21:34:36,816 | text_processor | INFO | dominant=AR detected=['AR', 'EN'] segments=3
2026-05-29 21:43:06,054 | text_processor | INFO | Input: "Uridu Range Transport Menjeda ilai Madinah Rodan"
2026-05-29 21:43:06,054 | text_processor | INFO | Manifest disimpan: 2301_audio6.json
2026-05-29 21:43:06,054 | text_processor | INFO | dominant=EN detected=['AR', 'EN'] segments=2
2026-05-29 21:45:30,301 | text_processor | INFO | Input: "Kenapa fasting di Ramadan itu wajib bagi Muslim?"
2026-05-29 21:45:30,302 | text_processor | INFO | Manifest disimpan: 2301_audio11.json
2026-05-29 21:45:30,302 | text_processor | INFO | dominant=ID detected=['ID'] segments=1
2026-05-29 21:46:13,031 | text_processor | INFO | Input: "Bagaimana proses visa Saudi untuk omroh dari Indonesia sekarang?"
2026-05-29 21:46:13,031 | text_processor | INFO | Manifest disimpan: 2301_audio12.json
2026-05-29 21:46:13,031 | text_processor | INFO | dominant=ID detected=['ID', 'EN'] segments=3
2026-05-29 21:50:31,146 | text_processor | INFO | Input: "Aku mau book flight ke Jedah minggu depan, bisa bantu schedule?"
2026-05-29 21:50:31,146 | text_processor | INFO | Manifest disimpan: 2222_audio1.json
2026-05-29 21:50:31,146 | text_processor | INFO | dominant=ID detected=['ID', 'EN'] segments=4
2026-05-29 21:51:17,400 | text_processor | INFO | Input: "Aku butuh travel umrah simple tapi include marina visit."
2026-05-29 21:51:17,400 | text_processor | INFO | Manifest disimpan: 2222_audio2.json
2026-05-29 21:51:17,400 | text_processor | INFO | dominant=EN detected=['ID', 'EN'] segments=4
2026-05-29 21:52:38,567 | text_processor | INFO | Input: "Can you help aku arrange transport dari Judah ke Madinah tomorrow?"
2026-05-29 21:52:38,568 | text_processor | INFO | Manifest disimpan: 2222_audio3.json
2026-05-29 21:52:38,568 | text_processor | INFO | dominant=EN detected=['EN', 'ID'] segments=5
2026-05-29 21:53:47,421 | text_processor | INFO | Input: "Explain step by step cara apply visas OD dengan benar."
2026-05-29 21:53:47,422 | text_processor | INFO | Manifest disimpan: 2222_audio4.json
2026-05-29 21:53:47,422 | text_processor | INFO | dominant=EN detected=['EN', 'ID'] segments=4
2026-05-29 21:55:43,734 | text_processor | INFO | Input: "Ya akhi, uridu bookflag ilah Jeddah al-Rasbun al-Qadim, hal bisa bantu Ajidah Af"
2026-05-29 21:55:43,735 | text_processor | INFO | Manifest disimpan: 2222_audio5.json
2026-05-29 21:55:43,735 | text_processor | INFO | dominant=AR detected=['AR', 'ID', 'EN'] segments=4
2026-05-29 21:57:40,314 | text_processor | INFO | Input: "Uri dulu range transport menjedah ilah Madinah Waddan."
2026-05-29 21:57:40,314 | text_processor | INFO | Manifest disimpan: 2222_audio6.json
2026-05-29 21:57:40,314 | text_processor | INFO | dominant=EN detected=['EN'] segments=1
2026-05-29 21:58:50,294 | text_processor | INFO | Input: "Book flight ke Jeddah lalu lanjut ke Madinah, schedule terbaik kapan?"
2026-05-29 21:58:50,296 | text_processor | INFO | Manifest disimpan: 2222_audio7.json
2026-05-29 21:58:50,296 | text_processor | INFO | dominant=ID detected=['EN', 'ID'] segments=4
2026-05-29 21:59:49,360 | text_processor | INFO | Input: "Apa perbedaan umrah dan hajj secara detail dalam Islam?"
2026-05-29 21:59:49,366 | text_processor | INFO | Manifest disimpan: 2222_audio10.json
2026-05-29 21:59:49,366 | text_processor | INFO | dominant=ID detected=['ID'] segments=1
2026-05-29 22:00:36,585 | text_processor | INFO | Input: "Bagaimana proses visa Saudi untuk umrah dari Indonesia sekarang?"
2026-05-29 22:00:36,586 | text_processor | INFO | Manifest disimpan: 2222_audio12.json
2026-05-29 22:00:36,586 | text_processor | INFO | dominant=ID detected=['ID', 'EN'] segments=3
2026-05-29 22:01:25,065 | text_processor | INFO | Input: "How to prepare dagumen umrah dari Indonesia dengan benar?"
2026-05-29 22:01:25,065 | text_processor | INFO | Manifest disimpan: 2222_audio14.json
2026-05-29 22:01:25,065 | text_processor | INFO | dominant=EN detected=['EN', 'ID'] segments=2
2026-05-29 22:02:30,602 | text_processor | INFO | Input: "Aku mau book fly ke Jedah minggu depan, bisa bantu schedule"
2026-05-29 22:02:30,603 | text_processor | INFO | Manifest disimpan: 2301_audio1.json
2026-05-29 22:02:30,603 | text_processor | INFO | dominant=ID detected=['ID', 'EN'] segments=4
2026-05-29 22:03:12,251 | text_processor | INFO | Input: "Aku butuh travel umrah simpel tapi include Madinah Visit."
2026-05-29 22:03:12,252 | text_processor | INFO | Manifest disimpan: 2301_audio2.json
2026-05-29 22:03:12,252 | text_processor | INFO | dominant=EN detected=['ID', 'EN'] segments=4
2026-05-29 22:04:29,964 | text_processor | INFO | Input: "Can you help aku arrange transport dari Jedah ke Madinah tomorrow?"
2026-05-29 22:04:29,965 | text_processor | INFO | Manifest disimpan: 2301_audio3.json
2026-05-29 22:04:29,965 | text_processor | INFO | dominant=EN detected=['EN', 'ID'] segments=5
2026-05-29 22:05:40,402 | text_processor | INFO | Input: "Explain step by step cara apply visa Saudi dengan benar."
2026-05-29 22:05:40,402 | text_processor | INFO | Manifest disimpan: 2301_audio4.json
2026-05-29 22:05:40,402 | text_processor | INFO | dominant=EN detected=['EN', 'ID'] segments=4
2026-05-29 22:06:48,777 | text_processor | INFO | Input: "Ya akhiri, uridu book flight ilajidah ul usbu an kadim. Hal bisa bantu ajidah af"
